dw_true,dw_pred,dw_pred_round,hit,conf,a_dist,b_dist
1.0,1.0,1.0,True,0.47448374544333727,0.0,0.0
2.0,1.0,1.0,False,0.28812665985685193,0.0,0.0
3.0,2.0,2.0,False,0.45270482870679096,0.0,0.0
4.0,3.0,3.0,False,0.3814945593016983,0.0,0.0
5.0,4.0,4.0,False,0.9920632050495612,0.0,0.0
6.0,5.0,5.0,False,0.25741443169943956,0.0,0.0
1.0,1.0,1.0,True,0.3233023331146243,0.0,0.0
2.0,2.0,2.0,True,0.25922108557143453,0.0,0.0
3.0,3.0,3.0,True,0.2015883116456001,0.0,0.0
4.0,3.0,3.0,False,0.40226503994401686,0.0,0.0
5.0,4.0,4.0,False,0.8734506862636069,0.0,0.0
6.0,5.0,5.0,False,0.5793532614862134,0.0,0.0
1.0,1.0,1.0,True,0.9100528285356553,0.0,0.0
2.0,2.0,2.0,True,0.8458077342588477,0.0,0.0
3.0,3.0,3.0,True,0.25397771924241663,0.0,0.0
4.0,3.0,3.0,False,0.4861806998999443,0.0,0.0
5.0,4.0,4.0,False,0.7799787814482588,0.0,0.0
6.0,5.0,5.0,False,0.9174983098315845,0.0,0.0
1.0,1.0,1.0,True,0.9764767300821213,0.0,0.0
2.0,2.0,2.0,True,0.39208862314086,0.0,0.0
3.0,2.0,2.0,False,0.3299139506378088,0.0,0.0
4.0,3.0,3.0,False,0.6226614976093048,0.0,0.0
5.0,4.0,4.0,False,0.7735856016222691,0.0,0.0
6.0,5.0,5.0,False,0.5482454238909664,0.0,0.0
1.0,1.0,1.0,True,0.5760551434956376,0.0,0.0
2.0,1.0,1.0,False,0.27628530828686726,0.0,0.0
3.0,2.0,2.0,False,0.5987280112047015,0.0,0.0
4.0,3.0,3.0,False,0.7394107483416681,0.0,0.0
5.0,4.0,4.0,False,0.5743416377301358,0.0,0.0
6.0,5.0,5.0,False,0.5032788063151798,0.0,0.0
1.0,1.0,1.0,True,0.274819369231055,0.0,0.0
2.0,1.0,1.0,False,0.028017505138637766,0.0,0.0
3.0,2.0,2.0,False,0.16940583730086978,0.0,0.0
4.0,3.0,3.0,False,0.844657103217962,0.0,0.0
5.0,4.0,4.0,False,0.9206803864329469,0.0,0.0
6.0,5.0,5.0,False,0.5364651374304099,0.0,0.0
1.0,1.0,1.0,True,0.7056844848313992,0.0,0.0
2.0,2.0,2.0,True,0.5741209075433522,0.0,0.0
3.0,2.0,2.0,False,0.1109526434644792,0.0,0.0
4.0,3.0,3.0,False,0.1824992297505741,0.0,0.0
5.0,4.0,4.0,False,0.7287395477931042,0.0,0.0
6.0,5.0,5.0,False,0.6861991033598596,0.0,0.0
1.0,1.0,1.0,True,0.8576673702736006,0.0,0.0
2.0,2.0,2.0,True,0.16825424794650923,0.0,0.0
3.0,3.0,3.0,True,0.08849238021225059,0.0,0.0
4.0,3.0,3.0,False,0.45668531917184296,0.0,0.0
5.0,4.0,4.0,False,0.9510668524583767,0.0,0.0
6.0,5.0,5.0,False,0.5355808826966371,0.0,0.0
1.0,1.0,1.0,True,0.31917517133225415,0.0,0.0
2.0,2.0,2.0,True,0.23103396277980348,0.0,0.0
3.0,2.0,2.0,False,0.30967579899022635,0.0,0.0
4.0,3.0,3.0,False,0.86621145066833,0.0,0.0
