dw_true,dw_pred,dw_pred_round,hit,conf,a_dist,b_dist
1.0,28.0,28.0,False,1.373416744172573,7.526971005058165,14.131361887445431
1.0,3.0,3.0,False,3.5784764885902405,12.135236528666816,8.118020214144925
1.0,32.0,32.0,False,3.255496561527252,2.6446855914156235,8.682359231015857
1.0,5.0,5.0,False,2.2263239920139313,35.35309308021202,18.10322578305981
1.0,-22.0,-22.0,False,2.072601318359375,23.667598123980643,13.961274401800262
1.0,-17.0,-17.0,False,1.2168758511543274,14.714737460626209,23.91676402542909
1.0,10.0,10.0,False,2.6126922369003296,21.002573582216442,8.682359231015857
1.0,3.0,3.0,False,2.6510050296783447,29.307705306098992,13.414233020549556
1.0,18.0,18.0,False,1.5454643964767456,29.916554380824223,29.97094400308464
1.0,15.0,15.0,False,2.990741938352585,28.436787422390914,36.52262250511153
1.0,-39.0,-39.0,False,3.817733407020569,34.56883758329678,22.989386141273712
1.0,53.0,53.0,False,2.9355084896087646,34.24588349935816,26.97766156999899
1.0,-1.0,-1.0,False,1.0645508170127869,18.483624634139908,15.264616699654326
1.0,14.0,14.0,False,1.8196210861206055,32.34478887833755,11.405957194711362
1.0,-7.0,-7.0,False,3.3663032054901123,17.650246063548824,23.64526692746963
1.0,-22.0,-22.0,False,2.885269522666931,23.667598123980643,8.118020214144925
1.0,-25.0,-25.0,False,3.3949506878852844,25.177079840078388,19.098458915972458
1.0,27.0,27.0,False,1.7819624245166779,37.221840935900396,23.602505505640686
1.0,9.0,9.0,False,2.426958382129669,31.899505171331125,24.873326921028504
1.0,5.0,5.0,False,2.5020418763160706,22.568317117820673,29.987204620445805
1.0,2.0,2.0,False,3.0043410062789917,18.483624634139908,23.91676402542909
1.0,14.0,14.0,False,2.072601318359375,21.173642198069864,13.961274401800262
1.0,78.0,78.0,False,2.4927969574928284,29.39335240835931,33.40389238393791
1.0,34.0,34.0,False,3.7930516451597214,28.241703536871686,10.031491285613026
1.0,-43.0,-43.0,False,1.4795578718185425,30.039700306643198,21.187276203245137
1.0,28.0,28.0,False,2.7055443078279495,16.583171453915885,34.26128457720357
1.0,-18.0,-18.0,False,1.2168758511543274,14.714737460626209,31.170176493708304
1.0,-34.0,-34.0,False,1.9826471507549286,36.24784692092191,15.911331534205623
1.0,0.0,0.0,False,3.3996951580047607,21.97527050420336,36.52262250511153
1.0,-28.0,-28.0,False,1.4564008712768555,5.803615548102388,18.376355698586874
1.0,4.0,4.0,False,1.8226872682571411,24.526909511007148,34.47989820797226
1.0,3.0,3.0,False,2.1182114481925964,30.798240859711377,36.32615507301751
1.0,43.0,43.0,False,2.990741938352585,28.436787422390914,22.709857527883514
1.0,-26.0,-26.0,False,1.9826471507549286,3.0582732011945124,15.911331534205623
1.0,-19.0,-19.0,False,4.825845181941986,24.659907583417766,14.652525633962169
1.0,17.0,17.0,False,4.245487987995148,14.36007804934402,18.10322578305981
1.0,-33.0,-33.0,False,0.5817304030060768,26.19546307600997,5.505913503109466
1.0,1.0,1.0,True,2.072601318359375,0.4773513019170415,13.961274401800262
1.0,13.0,13.0,False,3.166866660118103,15.920123032904378,17.000455429484102
1.0,43.0,43.0,False,4.116369307041168,34.55536317175504,8.224611462167273
1.0,65.0,65.0,False,5.273885488510132,31.633113739998713,22.709857527883514
1.0,-14.0,-14.0,False,4.344176352024078,16.023411431330878,30.479435538624625
1.0,-1.0,-1.0,False,2.602371633052826,12.40666232636991,36.163770363386504
1.0,50.0,50.0,False,3.0043410062789917,18.483624634139908,22.709857527883514
1.0,24.0,24.0,False,2.4345803260803223,29.244988232181587,13.54448294282497
1.0,-3.0,-3.0,False,2.426958382129669,12.15804232448886,24.873326921028504
1.0,-28.0,-28.0,False,2.4881948828697205,22.71795375850635,33.50127260438447
1.0,19.0,19.0,False,2.903534412384033,31.899505171331125,31.57989724993524
1.0,-22.0,-22.0,False,0.7500472813844681,28.436787422390914,25.450874205678122
1.0,-29.0,-29.0,False,2.812972366809845,17.650246063548824,32.824995353797185
1.0,-42.0,-42.0,False,1.7537974417209625,19.44587090603528,35.165772364907724
1.0,-22.0,-22.0,False,1.0645508170127869,27.54619948521214,15.264616699654326
1.0,-3.0,-3.0,False,2.7522983103990555,11.429177847168493,34.28624739686573
1.0,38.0,38.0,False,2.2988290190696716,21.00143445883193,35.26936879565809
1.0,7.0,7.0,False,3.833266019821167,7.388071147185773,31.049782496380065
1.0,10.0,10.0,False,3.333182454109192,13.525976126767516,5.750422254897386
1.0,-21.0,-21.0,False,4.739355236291885,11.891524893635781,28.94104067931571
1.0,29.0,29.0,False,3.2149378061294556,16.583171453915885,20.93801241575043
1.0,-7.0,-7.0,False,1.8226872682571411,24.526909511007148,33.50127260438447
1.0,15.0,15.0,False,1.4411078095436096,12.135236528666816,22.33853809952272
1.0,16.0,16.0,False,2.5348986983299255,12.675361276026148,14.635311078361559
1.0,-5.0,-5.0,False,1.2722892761230469,33.506666801150054,10.730128396395694
1.0,33.0,33.0,False,3.2149378061294556,16.583171453915885,37.241384649215455
1.0,-5.0,-5.0,False,2.0592445135116577,2.45332559142066,8.682359231015857
1.0,-5.0,-5.0,False,1.6362577676773071,0.49670564656405236,32.824995353797185
1.0,-2.0,-2.0,False,2.5348986983299255,12.675361276026148,17.000455429484102
1.0,-11.0,-11.0,False,4.565477699041367,24.659907583417766,37.098349770503
1.0,35.0,35.0,False,2.527928948402405,8.537009282901003,27.67453498484116
1.0,-33.0,-33.0,False,0.7500472813844681,25.650153268575533,25.450874205678122
1.0,-10.0,-10.0,False,2.8713624477386475,19.18281075400767,28.94104067931571
1.0,-32.0,-32.0,False,3.4167032837867737,22.373497598171607,35.16980039425485
1.0,-47.0,-47.0,False,1.2168758511543274,14.714737460626209,33.0454780589978
1.0,14.0,14.0,False,2.1543253362178802,21.002573582216442,25.84004098091773
1.0,39.0,39.0,False,2.4927969574928284,29.39335240835931,7.17204626872025
1.0,-17.0,-17.0,False,2.5372931361198425,31.43442911730654,5.346697791778709
1.0,33.0,33.0,False,2.9355084896087646,24.659907583417766,26.97766156999899
1.0,5.0,5.0,False,3.035504251718521,27.08145943443368,23.91676402542909
1.0,15.0,15.0,False,2.2263239920139313,35.35309308021202,14.652525633962169
1.0,-1.0,-1.0,False,2.1182114481925964,30.798240859711377,33.50127260438447
1.0,-17.0,-17.0,False,3.2625007033348083,31.43442911730654,35.16980039425485
1.0,-17.0,-17.0,False,1.2168758511543274,14.714737460626209,10.730128396395694
1.0,-7.0,-7.0,False,1.9826471507549286,29.307705306098992,15.911331534205623
1.0,4.0,4.0,False,4.488430619239807,12.934394979818636,18.376355698586874
