dw_true,dw_pred,dw_pred_round,hit,conf,a_dist,b_dist
1.0,1.0,1.0,True,0.6857714113858568,0.0,0.0
2.0,2.0,2.0,True,0.4058932668240707,0.0,0.0
3.0,2.0,2.0,False,0.20252625825619308,0.0,0.0
4.0,3.0,3.0,False,0.16475532788480685,0.0,0.0
5.0,4.0,4.0,False,0.673888095274016,0.0,0.0
6.0,5.0,5.0,False,0.8851986961562197,0.0,0.0
1.0,1.0,1.0,True,0.7284549221480592,0.0,0.0
2.0,2.0,2.0,True,0.11112931302719753,0.0,0.0
3.0,3.0,3.0,True,0.13866249081174598,0.0,0.0
4.0,3.0,3.0,False,0.3616944229019996,0.0,0.0
5.0,4.0,4.0,False,0.5734096284862922,0.0,0.0
1.0,1.0,1.0,True,0.38509076228042427,0.0,0.0
2.0,2.0,2.0,True,0.4084493816558208,0.0,0.0
3.0,2.0,2.0,False,0.10034665182677482,0.0,0.0
4.0,3.0,3.0,False,0.3026664900542979,0.0,0.0
1.0,1.0,1.0,True,0.9792688542027514,0.0,0.0
2.0,2.0,2.0,True,0.5183653126287968,0.0,0.0
3.0,3.0,3.0,True,0.30352623062190265,0.0,0.0
1.0,1.0,1.0,True,0.4863032427184881,0.0,0.0
2.0,2.0,2.0,True,0.29049499358916986,0.0,0.0
1.0,1.0,1.0,True,0.8148074126366904,0.0,0.0
1.0,1.0,1.0,True,0.9477573484591826,0.0,0.0
2.0,2.0,2.0,True,0.9697847657586496,0.0,0.0
3.0,3.0,3.0,True,0.526424955270036,0.0,0.0
4.0,4.0,4.0,True,0.28937682217526284,0.0,0.0
5.0,4.0,4.0,False,0.3264915207955337,0.0,0.0
6.0,5.0,5.0,False,0.5365052084206638,0.0,0.0
1.0,1.0,1.0,True,0.9125590885237618,0.0,0.0
2.0,2.0,2.0,True,0.46647918428150126,0.0,0.0
3.0,3.0,3.0,True,0.23199583980521155,0.0,0.0
4.0,3.0,3.0,False,0.3808971446802536,0.0,0.0
5.0,4.0,4.0,False,0.5951776637970312,0.0,0.0
6.0,5.0,5.0,False,0.6592047786929722,0.0,0.0
1.0,1.0,1.0,True,0.5545015713239347,0.0,0.0
2.0,2.0,2.0,True,0.3432947147066252,0.0,0.0
3.0,2.0,2.0,False,0.27138679669317334,0.0,0.0
4.0,3.0,3.0,False,0.49329948099588705,0.0,0.0
5.0,4.0,4.0,False,0.5646938767452223,0.0,0.0
6.0,5.0,5.0,False,0.8766171670688827,0.0,0.0
1.0,1.0,1.0,True,0.8343204063746954,0.0,0.0
2.0,2.0,2.0,True,0.19056818314776125,0.0,0.0
3.0,2.0,2.0,False,0.02466142446163211,0.0,0.0
4.0,3.0,3.0,False,0.0998001950068419,0.0,0.0
5.0,4.0,4.0,False,0.40943898909937104,0.0,0.0
6.0,5.0,5.0,False,0.6901647813531184,0.0,0.0
1.0,1.0,1.0,True,0.3828203914050474,0.0,0.0
2.0,2.0,2.0,True,0.16514514450035955,0.0,0.0
3.0,3.0,3.0,True,0.10448595540877559,0.0,0.0
4.0,3.0,3.0,False,0.21185612810794918,0.0,0.0
5.0,4.0,4.0,False,0.8640515530433301,0.0,0.0
6.0,5.0,5.0,False,0.674284815032614,0.0,0.0
1.0,1.0,1.0,True,0.792221660069889,0.0,0.0
2.0,2.0,2.0,True,0.7155845421299185,0.0,0.0
3.0,3.0,3.0,True,0.4195343196535495,0.0,0.0
4.0,3.0,3.0,False,0.5072234678261598,0.0,0.0
5.0,4.0,4.0,False,0.6973393191686768,0.0,0.0
6.0,5.0,5.0,False,0.9945098300417268,0.0,0.0
1.0,1.0,1.0,True,0.9350816010515015,0.0,0.0
2.0,2.0,2.0,True,0.6175988940463446,0.0,0.0
3.0,2.0,2.0,False,0.29600269431240545,0.0,0.0
4.0,3.0,3.0,False,0.4807242108287024,0.0,0.0
5.0,4.0,4.0,False,0.7504204331343889,0.0,0.0
6.0,5.0,5.0,False,0.7561207972176831,0.0,0.0
1.0,1.0,1.0,True,0.6836092860131615,0.0,0.0
2.0,1.0,1.0,False,0.2396298097681573,0.0,0.0
3.0,2.0,2.0,False,0.4168194923081687,0.0,0.0
4.0,3.0,3.0,False,0.6896446766906958,0.0,0.0
5.0,4.0,4.0,False,0.6963086003124896,0.0,0.0
6.0,5.0,5.0,False,0.9199553433681125,0.0,0.0
1.0,1.0,1.0,True,0.0769844356673064,0.0,0.0
